iter	RMSE
815	0.0218626684
816	0.02182548162
817	0.02180514422
818	0.02180259067
819	0.02175475234
820	0.0217518518
821	0.02169867584
822	0.0216736145
823	0.02158286395
824	0.02152221177
825	0.021519551
826	0.02148568619
827	0.02144062015
828	0.02141219169
829	0.02136640243
830	0.02134251615
831	0.02129916526
832	0.02128129642
833	0.02122417389
834	0.02120011082
835	0.02114425812
836	0.02107991649
837	0.02103413636
838	0.02101461109
839	0.0209508945
840	0.02092573636
841	0.02090310737
842	0.0208364616
843	0.02078466539
844	0.02076166685
845	0.02075939578
846	0.0207083161
847	0.02066018004
848	0.02059538078
849	0.02055438963
850	0.02052285899
851	0.02050657848
852	0.02050439299
853	0.02045448177
854	0.02038941672
855	0.02038705157
856	0.02033843236
857	0.02029955393
858	0.02024568157
859	0.02018277209
860	0.0201671795
861	0.02010620408
862	0.02010399996
863	0.02005878737
864	0.02003777156
865	0.01998343722
866	0.01993689701
867	0.01989934526
868	0.01988123111
869	0.01987858274
870	0.01979898445
871	0.0197701467
872	0.01974972022
873	0.01973512001
874	0.01971395191
875	0.01964614506
876	0.01962647547
877	0.01959665733
878	0.01955441517
879	0.0194963275
880	0.01942575972
881	0.01937746648
882	0.01935738302
883	0.01928468304
884	0.01928162189
885	0.01923511705
886	0.01920923873
887	0.01919307916
888	0.01917253846
889	0.0191511655
890	0.01914932967
891	0.01909276284
892	0.0190247838
893	0.01896928522
894	0.0189672154
895	0.01893331756
896	0.01890835279
897	0.01890655689
898	0.0188612009
899	0.01885931878
900	0.01880460051
901	0.01877114106
902	0.01876933786
903	0.01874709925
904	0.01872258449
905	0.018720992
906	0.01867365791
907	0.0186457221
908	0.01859356644
909	0.01859114266
910	0.01854595921
911	0.01850874167
912	0.01847302552
913	0.01845487292
914	0.01843366937
915	0.01838973108
916	0.01836660959
917	0.01831819507
918	0.01829112102
919	0.01828963965
920	0.01819855947
921	0.01816563574
922	0.01816385257
923	0.01814358882
924	0.01809264138
925	0.01806002273
926	0.01802101589
927	0.01801671239
928	0.01798316448
929	0.01794365979
930	0.01790886405
931	0.01786980051
932	0.01782228096
933	0.01778362198
934	0.01775419197
935	0.01772701172
936	0.01769020002
937	0.01764743787
938	0.01759813097
939	0.01759642589
940	0.01759316137
941	0.01756477166
942	0.01751975462
943	0.01749347934
944	0.01747738383
945	0.01744811666
946	0.01744608574
947	0.01739221061
948	0.017371418
949	0.01732970809
950	0.01729229108
951	0.0172908188
952	0.01725411765
953	0.01725272234
954	0.01720755741
955	0.0171833974
956	0.0171601833
957	0.01712016848
958	0.01708562701
959	0.01707708057
960	0.01703847749
961	0.01697618382
962	0.01696400782
963	0.01696237499
964	0.01691622007
965	0.01691484795
966	0.016913521
967	0.01688285268
968	0.01688163636
969	0.01684915315
970	0.01681288592
971	0.01681158093
972	0.01677304991
973	0.01674206517
974	0.01672254574
975	0.01672077445
976	0.0166975468
977	0.01667850363
978	0.0166599302
979	0.01661550764
980	0.01661439939
981	0.01656914509
982	0.01655118949
983	0.01652469325
984	0.01652361892
985	0.01645568613
986	0.01644108997
987	0.01642311683
988	0.01640647128
989	0.01636341982
990	0.01634715245
991	0.01631899027
992	0.0162852267
993	0.01628416764
994	0.01627628615
995	0.01622252958
996	0.01622143062
997	0.01618000411
998	0.01613754208
999	0.01609280623
